epoch,step,loss_total,loss_cds,loss_org,loss_pa,val_loss,val_acc_cds,val_acc_org,val_acc_pa
1,5,4.891960620880127,4.426224708557129,2.7466440200805664,1.910714864730835,,,,
1,10,4.925260543823242,4.425800323486328,3.1512341499328613,1.8433666229248047,,,,
1,15,4.8431806564331055,4.393038749694824,2.710142135620117,1.7912781238555908,,,,
1,20,4.8379292488098145,4.3542046546936035,3.0650930404663086,1.7721492052078247,,,,
1,25,4.821559906005859,4.320888996124268,2.9587385654449463,2.047971248626709,,,,
1,30,4.806279182434082,4.306727886199951,3.134711265563965,1.86079740524292,,,,
1,35,4.695018768310547,4.251099109649658,2.7937068939208984,1.645490288734436,,,,
1,40,4.663013458251953,4.201754570007324,2.873624801635742,1.738964557647705,,,,
1,45,4.7438836097717285,4.274590969085693,3.0819575786590576,1.6109702587127686,,,,
1,50,4.6008477210998535,4.176034450531006,2.6887552738189697,1.559377670288086,,,,
1,55,4.638007640838623,4.193217754364014,2.774535655975342,1.6733647584915161,,,,
1,60,4.500431537628174,4.0604071617126465,2.955427646636963,1.444817304611206,,,,
1,65,4.570367336273193,4.135898113250732,2.930020570755005,1.4146713018417358,,,,
1,70,4.519993782043457,4.0722222328186035,2.91628098487854,1.5614376068115234,,,,
1,75,4.4152069091796875,3.9797627925872803,2.6870381832122803,1.667404294013977,,,,
1,80,4.518440246582031,4.090446472167969,2.806811809539795,1.4731286764144897,,,,
1,85,4.261125564575195,3.829421281814575,2.880418062210083,1.4366246461868286,,,,
1,90,4.322137832641602,3.9351320266723633,2.3201327323913574,1.5499281883239746,,,,
1,95,4.336506366729736,3.9297573566436768,2.764317750930786,1.3031741380691528,,,,
1,100,4.371991157531738,3.935225248336792,2.776595115661621,1.5910649299621582,,,,
1,105,4.441590785980225,3.9896223545074463,2.808239698410034,1.71144437789917,,,,
1,110,4.409586429595947,4.007427215576172,2.42988657951355,1.591707468032837,,,,
1,115,4.249063014984131,3.8979766368865967,1.9374127388000488,1.5734539031982422,,,,
1,120,4.298174858093262,3.9357097148895264,2.2627015113830566,1.3619496822357178,,,,
1,125,4.258425712585449,3.893994092941284,2.2521004676818848,1.392218828201294,,,,
1,130,4.3751983642578125,3.9591023921966553,2.8468477725982666,1.314109444618225,,,,
1,135,4.2662763595581055,3.9219558238983154,2.008063554763794,1.4351409673690796,,,,
1,140,4.273752689361572,3.8353395462036133,3.099874973297119,1.2842551469802856,,,,
1,145,4.227642059326172,3.8784921169281006,2.1823930740356445,1.3091078996658325,,,,
1,150,4.258687973022461,3.8317391872406006,2.691378116607666,1.5781093835830688,,,,
1,155,4.174803256988525,3.8264033794403076,2.205979824066162,1.278017282485962,,,,
1,160,4.176430702209473,3.814764976501465,2.2014832496643066,1.4151785373687744,,,,
1,165,4.255289554595947,3.88417911529541,2.109022617340088,1.6020839214324951,,,,
1,170,4.208967685699463,3.8715059757232666,1.9315755367279053,1.443042278289795,,,,
1,175,4.307430744171143,3.947727680206299,2.190546989440918,1.4064828157424927,,,,
1,180,4.262363433837891,3.9027416706085205,2.2597098350524902,1.3365073204040527,,,,
1,185,4.145137310028076,3.77105450630188,2.4305691719055176,1.3102600574493408,,,,
1,190,4.101357936859131,3.757012367248535,2.118474245071411,1.324983835220337,,,,
1,195,4.082797527313232,3.705430030822754,2.1053011417388916,1.6683766841888428,,,,
1,200,4.297288417816162,3.932861328125,2.4207208156585693,1.223550796508789,,,,
1,205,4.2854838371276855,3.8742928504943848,2.7269577980041504,1.3849517107009888,,,,
1,210,4.1274309158325195,3.7927043437957764,1.9457205533981323,1.4015450477600098,,,,
1,215,4.097310543060303,3.6981496810913086,2.61012601852417,1.3814841508865356,,,,
1,220,4.222087860107422,3.7778942584991455,2.8856983184814453,1.556239366531372,,,,
1,225,4.184116840362549,3.8936305046081543,1.671978235244751,1.2328845262527466,,,,
1,230,4.2879638671875,3.9242708683013916,1.8779301643371582,1.7590004205703735,,,,
1,235,4.192507743835449,3.8714001178741455,1.8881137371063232,1.3229601383209229,,,,
1,240,4.290767192840576,3.9157538414001465,2.5338807106018066,1.2162545919418335,,,,
1,245,4.199258804321289,3.8701367378234863,2.1249985694885254,1.166218638420105,,,,
1,250,4.019825458526611,3.7427210807800293,1.2983273267745972,1.4727140665054321,,,,
1,255,4.146545886993408,3.7457149028778076,2.4910268783569336,1.5172849893569946,,,,
1,260,4.267613410949707,3.8736588954925537,2.8189175128936768,1.1206274032592773,,,,
1,265,4.164500713348389,3.8742620944976807,1.5318354368209839,1.3705488443374634,,,,
1,270,4.30130672454834,3.9437029361724854,2.080623149871826,1.495411992073059,,,,
1,275,4.24699068069458,3.9516119956970215,1.8711248636245728,1.0826637744903564,,,,
1,280,3.9133455753326416,3.5889642238616943,1.9124884605407715,1.331323504447937,,,,
1,285,4.231439113616943,3.884723663330078,1.6570478677749634,1.8101075887680054,,,,
1,290,4.2016167640686035,3.919419050216675,1.621179223060608,1.2007977962493896,,,,
1,295,4.109157562255859,3.821136474609375,1.5209916830062866,1.3592195510864258,,,,
1,300,4.1749067306518555,3.8619799613952637,1.3244606256484985,1.8048090934753418,,,,
1,305,3.953645944595337,3.704270601272583,1.4661800861358643,1.0275722742080688,,,,
1,310,4.240675449371338,3.938277244567871,1.7870512008666992,1.2369284629821777,,,,
1,315,4.11322546005249,3.8257384300231934,1.534583568572998,1.340288519859314,,,,
1,320,3.8685379028320312,3.609065055847168,1.299649953842163,1.2950785160064697,,,,
1,325,4.237087726593018,3.9083821773529053,1.8512961864471436,1.435762882232666,,,,
1,330,4.145192623138428,3.8834502696990967,1.3905481100082397,1.2268717288970947,,,,
1,335,4.2593607902526855,3.947699785232544,1.558294653892517,1.558312177658081,,,,
1,340,3.989708423614502,3.6485795974731445,2.2647273540496826,1.1465604305267334,,,,
1,345,4.0236992835998535,3.725862503051758,1.9539830684661865,1.0243864059448242,,,,
1,350,4.010300159454346,3.7482659816741943,1.4365615844726562,1.1837799549102783,,,,
1,355,4.053112030029297,3.7539660930633545,1.7041736841201782,1.2872885465621948,,,,
1,360,4.103528022766113,3.7632880210876465,1.9692879915237427,1.4331119060516357,,,,
1,365,4.161095142364502,3.8564276695251465,1.7381948232650757,1.3084771633148193,,,,
1,370,4.277629375457764,3.9691693782806396,1.5105960369110107,1.5740041732788086,,,,
1,375,4.0010480880737305,3.7405953407287598,1.1633491516113281,1.4411776065826416,,,,
1,380,4.15431022644043,3.881929636001587,1.5185693502426147,1.2052332162857056,,,,
1,385,4.256778717041016,3.9115188121795654,2.2340214252471924,1.218576192855835,,,,
1,390,3.909278392791748,3.5774803161621094,1.7315422296524048,1.5864384174346924,,,,
1,395,4.253370761871338,3.8889756202697754,2.152449131011963,1.4915027618408203,,,,
1,400,3.857896089553833,3.529620885848999,1.976242184638977,1.3065110445022583,,,,
1,405,4.052953243255615,3.770378828048706,1.5827480554580688,1.2429938316345215,,,,
1,410,4.05881929397583,3.760911464691162,1.7872260808944702,1.1918532848358154,,,,
1,415,4.1726908683776855,3.8582828044891357,1.9098025560379028,1.2342784404754639,,,,
1,420,3.992349624633789,3.745640754699707,0.9857079982757568,1.4813810586929321,,,,
1,425,4.11860466003418,3.8656318187713623,1.1704925298690796,1.3592352867126465,,,,
1,430,4.149919509887695,3.7589170932769775,2.3120627403259277,1.5979599952697754,,,,
1,435,4.019086837768555,3.7952194213867188,1.0564287900924683,1.1822469234466553,,,,
1,440,4.124174118041992,3.8491945266723633,1.325132966041565,1.4246611595153809,,,,
1,445,4.158359050750732,3.9261977672576904,1.005921721458435,1.315690040588379,,,,
1,450,4.186847686767578,3.8897743225097656,1.7093727588653564,1.2613630294799805,,,,
1,455,3.8278863430023193,3.619957447052002,0.9952744245529175,1.0840163230895996,,,,
1,460,4.142295837402344,3.853239059448242,1.3073697090148926,1.58319890499115,,,,
1,465,4.066316604614258,3.798417091369629,0.9204889535903931,1.758508563041687,,,,
1,470,4.1284499168396,3.822500705718994,1.8837462663650513,1.1757489442825317,,,,
1,475,4.040322780609131,3.7242796421051025,1.04548180103302,2.1149492263793945,,,,
1,480,4.065979957580566,3.8258283138275146,1.1940895318984985,1.2074267864227295,,,,
1,485,4.2053446769714355,3.823793411254883,2.4600205421447754,1.3554918766021729,,,,
1,490,4.227311134338379,3.89945387840271,1.9199802875518799,1.3585888147354126,,,,
1,495,4.221673488616943,3.873103380203247,2.2775661945343018,1.208132266998291,,,,
1,500,4.345854759216309,3.9682881832122803,2.554959535598755,1.2207077741622925,,,,
1,505,3.819532632827759,3.5735137462615967,1.225568413734436,1.2346198558807373,,,,
1,510,4.22935152053833,3.8808953762054443,2.1699037551879883,1.314658284187317,,,,
1,515,4.1684746742248535,3.8899753093719482,1.674556851387024,1.1104342937469482,,,,
1,520,4.133896827697754,3.863797426223755,1.435657024383545,1.2653343677520752,,,,
1,525,4.250206470489502,3.986992835998535,1.188719391822815,1.4434150457382202,,,,
1,530,4.178497791290283,3.8674659729003906,2.0060293674468994,1.1042861938476562,,,,
1,535,3.89992356300354,3.6990742683410645,0.9756659865379333,1.032826542854309,,,,
1,540,4.098791599273682,3.8259782791137695,1.4678131341934204,1.2603232860565186,,,,
